Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xA,A-xA,KP,1/3,PPA,CrsPA,Prog,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Press,Pass Types_Sw,Pass Types_Crs,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Height_Ground,Height_Low,Height_High,Body Parts_Left,Body Parts_Right,Body Parts_Head,Body Parts_TI,Body Parts_Other,Outcomes_Cmp,Outcomes_Off,Outcomes_Out,Outcomes_Int,Outcomes_Blocks,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Dribbles_Succ,Dribbles_Att,Dribbles_Succ%,Dribbles_#Pl,Dribbles_Megs,Carries_Carries,Carries_TotDist,Carries_PrgDist,Receiving_Targ,Receiving_Rec,Receiving_Rec%,Miscon,Dispos,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_Drib,SCA Types_Sh,SCA Types_Fld,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_Drib,GCA Types_Sh,GCA Types_Fld,GCA Types_OG,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Playing Time_MP,Playing Time_Starts,Performance_Gls,Performance_Ast,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Expected_xA,Per 90 Minutes_xG,Per 90 Minutes_xA,Per 90 Minutes_xG+xA,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xA,xGChain,xGBuildup,xPassing%,shot_chain%,key_pass_chain%
David McGoldrick,ie IRL,FW,Sheffield Utd,31,1987,20.2,475,623,76.2,7899,1289,8,30,26.7,394,483,81.6,73,110,66.4,2,2.1,-0.1,16,27,9,3,36,623,609,14,1,4,167,18,8,0,0,0,0,406,117,100,57,462,37,1,8,475,10,16,10,20,895,25,95,417,425,66,881,31,47,66.0,34,2,566,3071,1269,1088,657,60.4,57,31,35,1.74,26,1,5,2,1,4,0.2,3,0,1,0,0,0,2,46,19,41.3,2.28,0.94,0.04,0.11,0,0,0,7.1,7.1,0.15,-5.1,-5.1,28,22,2,2,0,0,2,0,0.1,0.1,0.2,0.1,0.2,2.1,0.35,0.1,0.46,0.35,0.46,12.2388113420457,3.08636035583913,0.805194447233183,0.47076406245117386,0.10805964219818645
Pascal Groß,de GER,FWMF,Brighton,28,1991,20.0,762,1028,74.1,14861,4611,10,45,22.2,582,669,87.0,170,314,54.1,4,5.1,-1.1,62,54,37,10,152,1028,888,140,48,3,195,66,146,80,22,31,19,605,152,271,179,802,26,3,4,762,9,16,16,37,1222,12,125,560,613,55,1083,10,19,52.6,10,1,810,3813,1641,1118,855,76.5,32,24,93,4.66,51,33,4,1,2,8,0.4,3,3,0,0,0,2,2,29,9,31.0,1.45,0.45,0.07,0.22,4,0,0,1.8,1.8,0.06,0.2,0.2,29,22,2,4,0,0,4,0,0.1,0.2,0.3,0.1,0.3,5.1,0.09,0.26,0.35,0.09,0.35,8.31200130283833,6.01940418593586,0.687853358475109,0.38907882156298856,0.1958985464017372
Wesley Moraes,br BRA,FW,Aston Villa,22,1996,19.8,277,377,73.5,4420,608,11,25,44.0,229,302,75.8,37,50,74.0,1,0.8,0.2,11,20,2,0,12,377,361,16,0,0,115,12,7,0,0,0,0,221,94,62,16,282,33,2,10,277,3,6,6,11,600,28,45,289,294,97,583,14,22,63.6,14,1,353,1723,565,874,437,50.0,61,30,26,1.31,22,0,0,3,1,3,0.15,3,0,0,0,0,0,5,35,17,48.6,1.77,0.86,0.14,0.29,0,0,1,5.2,4.3,0.12,-0.2,0.7,21,21,5,1,0,1,3,0,0.25,0.05,0.3,0.25,0.3,0.8,0.26,0.04,0.3,0.22,0.26,8.00793587975204,2.67476463597268,0.8174856585670951,0.47771455413848485,0.10638635194834908
Scott McTominay,sco SCO,MF,Manchester Utd,22,1996,19.7,816,995,82.0,16600,4078,10,27,37.0,586,684,85.7,220,284,77.5,1,0.7,0.3,14,88,11,2,88,995,966,29,28,2,158,47,14,0,0,0,0,745,111,139,44,878,45,1,5,816,2,18,21,25,1289,69,323,780,259,23,1268,31,47,66.0,35,5,910,5092,2440,915,850,92.9,24,32,35,1.78,25,0,1,3,5,3,0.15,2,0,0,0,0,1,4,30,10,33.3,1.52,0.51,0.13,0.4,0,0,0,1.5,1.5,0.05,2.5,2.5,27,20,4,1,0,0,2,0,0.2,0.05,0.25,0.2,0.25,0.7,0.07,0.03,0.11,0.07,0.11,5.71903022378683,4.45356973819435,0.818492251665369,0.3139986346537289,0.07886491656728487
Michail Antonio,eng ENG,FW,West Ham,29,1990,19.6,325,507,64.1,5127,1297,15,55,27.3,262,354,74.0,48,98,49.0,3,2.8,0.2,21,21,14,8,45,507,467,40,1,5,169,14,49,0,0,0,0,249,133,125,49,335,30,25,15,325,4,10,6,36,851,12,47,305,557,126,811,71,107,66.4,74,3,601,4523,2699,1134,626,55.2,71,49,58,2.95,31,1,15,5,6,7,0.36,2,0,2,2,1,0,10,67,30,44.8,3.41,1.53,0.13,0.3,0,1,1,11.6,10.8,0.16,-1.6,-1.8,24,19,10,3,1,1,3,0,0.51,0.15,0.66,0.46,0.61,2.8,0.59,0.14,0.73,0.55,0.69,13.959707390517,2.27015558071435,0.692473936857792,0.7049095289281625,0.16421631117689622
Bukayo Saka,eng ENG,DFFW,Arsenal,17,2001,19.5,659,844,78.1,10760,3132,12,50,24.0,559,652,85.7,88,142,62.0,5,3.6,1.4,22,38,21,6,75,844,718,126,13,2,176,19,67,11,3,4,3,529,178,137,575,144,16,102,0,659,4,20,20,37,1069,40,271,470,405,61,948,31,48,64.6,31,2,726,4770,3010,835,696,83.4,32,37,45,2.31,32,2,7,2,2,7,0.36,6,0,1,0,0,0,1,13,4,30.8,0.67,0.21,0.08,0.25,0,0,0,1.3,1.3,0.1,-0.3,-0.3,26,19,1,5,0,0,6,0,0.05,0.26,0.31,0.05,0.31,3.6,0.07,0.19,0.25,0.07,0.25,7.81250563263893,5.02292485535145,0.7578529487438129,0.32959374458731183,0.10339219659978383
Andreas Christensen,dk DEN,DF,Chelsea,23,1996,19.5,1166,1258,92.7,26592,6425,7,16,43.8,715,745,96.0,444,497,89.3,0,1.1,-1.1,4,79,2,0,45,1258,1224,34,29,1,170,33,0,0,0,0,0,1047,83,128,80,1108,31,5,3,1166,3,16,7,6,1449,168,741,750,47,12,1417,2,2,100.0,2,0,1024,6114,3327,1068,1056,98.9,3,2,11,0.57,10,0,0,1,0,1,0.05,1,0,0,0,0,0,0,7,2,28.6,0.36,0.1,0.0,0.0,0,0,0,0.7,0.7,0.1,-0.7,-0.7,21,21,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,1.1,0.04,0.06,0.09,0.04,0.09,6.59843576326966,6.25327968969941,0.8886358008882109,0.11414988119069469,0.021121533437034934
Mattéo Guendouzi,fr FRA,MF,Arsenal,20,1999,19.4,1018,1144,89.0,20108,5472,15,41,36.6,746,802,93.0,257,301,85.4,1,1.3,-0.3,13,133,19,1,131,1144,1108,36,26,3,224,29,6,1,0,0,0,929,112,103,62,1032,34,8,5,1018,3,6,18,32,1357,76,364,858,265,21,1332,29,42,69.0,29,2,1042,7210,3891,1053,993,94.3,9,28,34,1.75,26,0,3,2,3,2,0.1,1,0,0,0,1,0,0,11,5,45.5,0.57,0.26,0.0,0.0,0,0,0,0.7,0.7,0.06,-0.7,-0.7,24,19,0,1,0,0,6,0,0.0,0.05,0.05,0.0,0.05,1.3,0.03,0.07,0.1,0.03,0.1,6.53160500526428,5.21248057484627,0.8401091953731791,0.17556790409854206,0.05286429707605039
Luke Shaw,eng ENG,DF,Manchester Utd,24,1995,19.3,1121,1296,86.5,16834,6221,18,44,40.9,1010,1104,91.5,93,148,62.8,0,1.4,-1.4,20,60,25,6,136,1296,1137,159,19,1,243,14,37,5,4,0,0,910,203,183,972,111,55,135,3,1121,1,12,19,37,1484,77,419,719,469,34,1329,24,33,72.7,25,1,961,5488,3280,1016,956,94.1,11,5,42,2.18,34,4,1,1,2,1,0.05,1,0,0,0,0,0,0,10,5,50.0,0.52,0.26,0.0,0.0,0,0,0,0.5,0.5,0.05,-0.5,-0.5,24,20,0,0,0,0,7,0,0.0,0.0,0.0,0.0,0.0,1.4,0.03,0.07,0.1,0.03,0.1,7.25877028983086,6.28143314644694,0.8209500163119859,0.20004617995387397,0.06875704863269663
Christian Pulisic,us USA,FW,Chelsea,20,1998,19.1,546,700,78.0,8423,1622,13,44,29.5,468,552,84.8,65,104,62.5,4,3.4,0.6,29,28,29,2,63,700,690,10,4,4,212,16,34,4,3,0,0,502,105,93,139,521,28,2,2,546,2,10,8,35,1027,6,100,462,568,142,1020,50,101,49.5,56,2,848,6790,4411,1122,836,74.5,49,65,79,4.13,51,0,16,4,8,13,0.68,7,0,2,1,3,0,9,62,25,40.3,3.24,1.31,0.15,0.36,0,0,0,7.9,7.9,0.13,1.1,1.1,25,19,9,4,0,0,0,0,0.47,0.21,0.68,0.47,0.68,3.4,0.41,0.18,0.59,0.41,0.59,16.7466634958983,7.06977665610611,0.754707092438059,0.47330695033821013,0.1329065839554235
Stuart Armstrong,sco SCO,MF,Southampton,27,1992,19.1,466,612,76.1,7277,2375,17,49,34.7,388,469,82.7,61,94,64.9,3,1.1,1.9,16,33,24,4,67,612,593,19,0,2,157,8,23,0,0,0,0,390,136,86,131,432,22,15,4,466,2,10,16,32,882,47,167,412,368,49,863,31,53,58.5,33,2,593,4281,2315,732,560,76.5,37,29,48,2.52,37,0,4,4,3,8,0.42,5,0,1,2,0,0,5,46,19,41.3,2.41,1.0,0.11,0.26,0,0,0,2.8,2.8,0.06,2.2,2.2,30,19,5,3,0,0,4,0,0.26,0.16,0.42,0.26,0.42,1.1,0.15,0.06,0.21,0.15,0.21,7.9727021176368,3.84519184753299,0.753008723716644,0.44697195102513476,0.11057397273640512
Nicolás Otamendi,ar ARG,DF,Manchester City,31,1988,19.1,1380,1488,92.7,29823,7222,6,17,35.3,932,980,95.1,442,491,90.0,0,0.2,-0.2,3,64,0,0,41,1488,1474,14,10,0,142,35,0,0,0,0,0,1254,100,134,112,1299,38,4,4,1380,2,12,11,13,1660,195,709,1038,46,30,1647,3,3,100.0,3,0,1214,7719,4403,1352,1331,98.4,7,2,8,0.42,6,0,0,2,0,1,0.05,0,0,0,1,0,0,2,15,7,46.7,0.79,0.37,0.13,0.29,0,0,0,2.4,2.4,0.16,-0.4,-0.4,24,18,2,0,0,0,3,0,0.1,0.0,0.1,0.1,0.1,0.2,0.13,0.01,0.13,0.13,0.13,10.6393293775618,10.6018525995314,0.912509004578599,0.13091295539482783,0.013223819445266127
Dani Ceballos,es ESP,MF,Arsenal,22,1996,18.8,1096,1301,84.2,22106,5541,8,44,18.2,791,854,92.6,297,403,73.7,2,1.8,0.2,29,120,30,2,122,1301,1199,102,35,4,200,54,72,63,12,19,9,949,149,203,73,1198,16,4,3,1096,3,17,19,36,1492,56,346,882,403,21,1397,29,41,70.7,31,4,1083,7449,4007,1134,1074,94.7,12,25,47,2.5,32,12,0,1,2,6,0.32,5,1,0,0,0,0,0,13,3,23.1,0.69,0.16,0.0,0.0,0,0,0,0.5,0.5,0.04,-0.5,-0.5,24,18,0,2,0,0,1,0,0.0,0.11,0.11,0.0,0.11,1.8,0.03,0.1,0.12,0.03,0.12,8.66311746276915,7.35291136801243,0.760851280881056,0.2337983806444639,0.10302968903951337
Sokratis Papastathopoulos,gr GRE,DF,Arsenal,31,1988,18.8,873,973,89.7,19136,5507,8,15,53.3,582,608,95.7,283,350,80.9,0,0.2,-0.2,1,27,1,0,24,973,932,41,31,0,150,42,1,0,0,0,0,748,103,122,34,893,17,10,2,873,2,10,5,7,1166,206,707,481,39,13,1126,5,6,83.3,5,0,794,3839,2028,858,839,97.8,4,6,4,0.21,3,0,0,1,0,0,0.0,0,0,0,0,0,0,2,7,2,28.6,0.37,0.11,0.29,1.0,0,0,0,1.0,1.0,0.15,1.0,1.0,19,19,2,0,0,0,6,0,0.11,0.0,0.11,0.11,0.11,0.2,0.05,0.01,0.06,0.05,0.06,4.34215160179883,4.34215160179883,0.876378487148637,0.16599389667589182,0.02504600794193701
James McCarthy,ie IRL,MF,Crystal Palace,28,1990,18.7,630,818,77.0,12696,3516,29,49,59.2,444,510,87.1,157,259,60.6,0,0.9,-0.9,18,62,8,0,81,818,746,72,41,0,138,50,35,22,14,6,2,466,133,219,218,528,45,6,10,630,3,27,11,22,1018,35,238,623,205,16,948,6,11,54.5,9,2,517,2434,894,606,539,88.9,11,15,28,1.5,14,13,0,1,0,3,0.16,1,2,0,0,0,0,0,11,3,27.3,0.59,0.16,0.0,0.0,0,0,0,0.5,0.5,0.05,-0.5,-0.5,33,16,0,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.9,0.03,0.05,0.07,0.03,0.07,3.68404050171375,2.97149742208421,0.7082096046816091,0.34938730911660487,0.11025398073531925
Fabian Schär,ch SUI,DFMF,Newcastle Utd,27,1991,18.6,576,767,75.1,14600,6231,6,15,40.0,346,393,88.0,224,359,62.4,0,0.1,-0.1,4,72,4,1,64,767,697,70,48,0,125,72,12,0,0,0,0,400,107,260,97,593,40,22,0,576,8,20,8,10,1016,129,572,426,86,15,953,16,19,84.2,16,1,569,3708,2391,564,540,95.7,6,12,16,0.86,13,0,1,2,0,3,0.16,2,0,0,1,0,0,2,19,6,31.6,1.02,0.32,0.11,0.33,1,0,0,1.1,1.1,0.06,0.9,0.9,22,18,2,0,0,0,5,0,0.11,0.0,0.11,0.11,0.11,0.1,0.06,0.01,0.07,0.06,0.07,2.57866196148098,1.86530566774309,0.7179314272274531,0.4030029510171096,0.0863989177577803
Harry Wilson,wal WAL,MFFW,Bournemouth,22,1997,18.3,454,609,74.5,8882,2086,6,38,15.8,337,401,84.0,111,170,65.3,0,1.6,-1.6,15,37,27,2,72,609,552,57,10,7,134,30,35,20,12,0,1,368,119,122,511,61,20,9,3,454,0,11,17,34,857,25,126,380,401,59,795,20,38,52.6,23,0,565,3621,1760,665,539,81.1,30,20,43,2.35,30,3,1,2,7,3,0.16,1,0,0,1,1,0,7,54,19,35.2,2.95,1.04,0.13,0.37,12,0,0,4.4,4.4,0.08,2.6,2.6,31,20,7,0,0,0,2,0,0.38,0.0,0.38,0.38,0.38,1.6,0.24,0.09,0.33,0.24,0.33,7.92182179167867,4.21072705835104,0.751189352403611,0.48976011910755335,0.1112418821048547
Jan Vertonghen,be BEL,DF,Tottenham,32,1987,18.3,930,1112,83.6,19288,5952,5,23,21.7,677,746,90.8,248,343,72.3,1,0.9,0.1,3,56,0,0,59,1112,1009,103,38,0,166,28,18,0,0,0,0,764,147,201,726,249,47,65,1,930,1,9,13,23,1327,165,620,689,84,6,1227,2,5,40.0,2,0,785,4062,2044,833,819,98.3,4,6,8,0.44,7,1,0,0,0,1,0.05,1,0,0,0,0,0,1,4,2,50.0,0.22,0.11,0.25,0.5,0,0,0,0.3,0.3,0.07,0.7,0.7,23,19,1,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,0.9,0.02,0.05,0.06,0.02,0.06,4.36938269622624,3.7159959319979,0.8338836974023759,0.23981293654557012,0.04627914281958323
Roberto Pereyra,ar ARG,FWMF,Watford,28,1991,18.3,538,654,82.3,8707,1972,21,38,55.3,437,498,87.8,80,118,67.8,0,1.8,-1.8,18,33,15,4,55,654,614,40,5,4,121,15,31,22,9,6,1,410,140,104,91,503,36,12,7,538,1,10,16,18,898,16,139,441,396,57,855,25,61,41.0,28,0,670,4700,2712,876,621,70.9,48,36,41,2.24,26,6,4,1,4,1,0.05,0,0,0,0,1,0,3,19,8,42.1,1.04,0.44,0.11,0.25,4,1,1,2.6,1.8,0.09,0.4,0.2,28,17,3,0,1,1,4,0,0.16,0.0,0.16,0.11,0.11,1.8,0.14,0.1,0.24,0.1,0.2,4.77689311746508,1.62599183060229,0.752244540604845,0.30394034728397124,0.09446665584819802
Dominic Solanke,eng ENG,FWMF,Bournemouth,21,1997,18.3,317,429,73.9,4428,910,24,45,53.3,267,337,79.2,26,47,55.3,1,0.9,0.1,12,28,10,2,28,429,404,25,1,0,136,3,6,0,0,0,0,268,94,67,40,307,37,1,9,317,1,6,9,19,695,20,86,323,334,83,670,30,57,52.6,31,0,479,3383,1841,818,471,57.6,58,55,43,2.34,30,0,3,5,5,5,0.27,2,0,1,1,1,0,3,35,8,22.9,1.91,0.44,0.09,0.38,0,0,0,3.6,3.6,0.1,-0.6,-0.6,32,17,3,1,0,0,1,0,0.16,0.05,0.22,0.16,0.22,0.9,0.2,0.05,0.25,0.2,0.25,6.86394422315061,2.41715693101287,0.7545604016110821,0.47389229333893823,0.1132436465265427
Alex Iwobi,ng NGA,MFFW,Everton,23,1996,17.7,462,614,75.2,9220,2938,8,36,22.2,337,408,82.6,117,170,68.8,0,2.3,-2.3,22,57,32,9,99,614,603,11,3,5,112,26,48,1,0,0,0,414,104,96,66,528,9,3,3,462,3,12,14,34,787,16,125,386,348,48,776,27,40,67.5,27,4,620,4339,2568,698,544,77.9,29,30,44,2.48,41,0,2,1,0,2,0.11,2,0,0,0,0,0,1,23,9,39.1,1.3,0.51,0.04,0.11,0,0,0,2.3,2.3,0.1,-1.3,-1.3,25,19,1,0,0,0,0,0,0.06,0.0,0.06,0.06,0.06,2.3,0.13,0.13,0.26,0.13,0.26,7.12299274653196,3.29839463531971,0.743966079087805,0.4096915228816498,0.1263290705923134
James Tomkins,eng ENG,DF,Crystal Palace,30,1989,17.6,505,626,80.7,11923,3447,6,14,42.9,311,347,89.6,188,265,70.9,1,0.1,0.9,2,21,1,0,21,626,597,29,26,0,106,24,1,0,0,0,0,377,96,153,81,474,34,3,0,505,2,14,6,5,857,156,563,294,34,21,829,1,1,100.0,1,0,399,1793,891,456,442,96.9,1,3,5,0.28,4,0,0,0,1,1,0.06,1,0,0,0,0,0,1,9,2,22.2,0.51,0.11,0.11,0.5,0,0,0,1.3,1.3,0.14,-0.3,-0.3,18,18,1,1,0,0,5,0,0.06,0.06,0.11,0.06,0.11,0.1,0.07,0.01,0.08,0.07,0.08,2.6492675896734,2.53032170049846,0.838994334389369,0.3050122737096719,0.05924321455233483
Nemanja Matić,rs SRB,MF,Manchester Utd,30,1988,17.6,1095,1240,88.3,20186,5087,9,27,33.3,850,925,91.9,236,288,81.9,2,1.3,0.7,17,118,12,1,100,1240,1210,30,26,1,220,30,3,0,0,0,0,979,125,136,1029,147,40,4,5,1095,1,11,17,22,1416,55,390,903,246,9,1388,23,29,79.3,24,0,1002,6310,3689,1053,1014,96.3,10,24,43,2.45,40,0,2,0,1,4,0.23,4,0,0,0,0,0,0,7,2,28.6,0.4,0.11,0.0,0.0,0,0,0,0.2,0.2,0.03,-0.2,-0.2,21,18,0,2,0,0,3,0,0.0,0.11,0.11,0.0,0.11,1.3,0.01,0.07,0.09,0.01,0.09,9.27742712199688,8.34947345033288,0.802555596260889,0.16808503676954145,0.06391521853235094
Jack Stacey,eng ENG,DF,Bournemouth,23,1996,17.2,560,780,71.8,9311,3999,13,52,25.0,478,578,82.7,69,150,46.0,2,2.2,-0.2,10,42,6,2,80,780,625,155,6,0,156,8,34,1,1,0,0,373,191,216,65,497,54,148,1,560,3,13,19,37,961,89,360,432,236,26,809,16,26,61.5,19,0,512,3391,1934,550,478,86.9,16,13,16,0.93,14,0,2,0,0,2,0.12,2,0,0,0,0,0,0,5,2,40.0,0.29,0.12,0.0,0.0,0,0,0,0.3,0.3,0.05,-0.3,-0.3,19,17,0,2,0,0,2,0,0.0,0.12,0.12,0.0,0.12,2.2,0.02,0.13,0.14,0.02,0.14,5.17683971952647,3.12071624677628,0.7328120267502249,0.40953382044300923,0.10262005428850057
Kortney Hause,eng ENG,DF,Aston Villa,24,1995,17.2,591,789,74.9,12375,4892,8,24,33.3,421,498,84.5,162,267,60.7,0,0.2,-0.2,1,42,1,0,40,789,743,46,25,0,141,26,0,0,0,0,0,418,125,246,569,77,61,21,1,591,4,20,12,15,1024,182,604,432,46,27,980,11,14,78.6,11,1,510,3279,1619,549,528,96.2,6,14,8,0.47,7,0,0,1,0,1,0.06,0,0,0,1,0,0,1,20,3,15.0,1.17,0.17,0.05,0.33,0,0,0,2.2,2.2,0.12,-1.2,-1.2,18,17,1,0,0,0,3,0,0.06,0.0,0.06,0.06,0.06,0.2,0.13,0.01,0.14,0.13,0.14,1.73596033267677,1.73596033267677,0.7768987411102999,0.41035729133649856,0.07135276437607285
Conor Hourihane,ie IRL,MF,Aston Villa,28,1991,17.0,542,721,75.2,10349,3231,17,37,45.9,396,460,86.1,129,224,57.6,5,5.2,-0.2,37,50,14,5,84,721,564,157,72,2,91,35,112,55,22,19,0,455,101,165,626,55,18,11,2,542,2,15,12,23,855,40,135,402,343,32,703,6,9,66.7,6,0,449,1694,724,585,492,84.1,10,11,57,3.34,25,27,0,2,3,7,0.41,2,5,0,0,0,0,3,29,10,34.5,1.7,0.59,0.1,0.3,4,0,0,1.7,1.7,0.06,1.3,1.3,27,18,3,5,0,0,4,0,0.18,0.29,0.47,0.18,0.47,5.2,0.1,0.3,0.4,0.1,0.4,6.00794250890613,3.1574677284807,0.62963732241071,0.3959775562838799,0.16134008756549775
Lucas Torreira,uy URU,MF,Arsenal,23,1996,16.8,793,906,87.5,15694,3307,9,26,34.6,572,630,90.8,212,250,84.8,1,1.1,-0.1,14,45,5,0,64,906,867,39,25,1,182,10,12,12,3,3,3,616,147,143,87,749,59,2,2,793,2,7,10,17,1091,58,306,663,187,31,1061,13,16,81.3,13,1,727,3409,1553,767,709,92.4,11,16,28,1.67,19,3,2,2,2,2,0.12,2,0,0,0,0,0,1,21,6,28.6,1.25,0.36,0.05,0.17,0,0,0,1.6,1.6,0.08,-0.6,-0.6,29,17,1,1,0,0,7,0,0.06,0.06,0.12,0.06,0.12,1.1,0.09,0.07,0.16,0.09,0.16,6.48121980577707,4.91352467238903,0.831725677820981,0.2257796774724452,0.06562689382122183
Robert Snodgrass,sco SCO,MFFW,West Ham,31,1987,16.8,435,635,68.5,7990,2676,11,35,31.4,331,403,82.1,93,197,47.2,5,2.7,2.3,33,31,14,2,82,635,529,106,32,2,113,37,135,72,27,24,19,326,103,206,541,53,29,1,2,435,3,6,15,24,805,16,140,310,397,60,707,15,27,55.6,16,1,511,3373,1687,664,501,75.5,12,35,51,3.04,19,24,3,1,4,7,0.42,3,4,0,0,0,0,5,21,10,47.6,1.25,0.6,0.24,0.5,0,0,0,2.7,2.7,0.13,2.3,2.3,24,17,5,5,0,0,4,0,0.3,0.3,0.6,0.3,0.6,2.7,0.16,0.16,0.32,0.16,0.32,6.51224774122238,3.52415472082794,0.652201583555269,0.4940933130819991,0.17440060136106478
Reece James,eng ENG,DF,Chelsea,19,1999,16.8,1055,1268,83.2,19372,5746,14,42,33.3,835,924,90.4,206,302,68.2,2,3.4,-1.4,24,58,31,13,125,1268,1077,191,26,3,202,29,110,10,4,6,0,802,227,239,104,951,31,155,4,1055,3,24,10,37,1483,43,352,714,503,23,1300,28,38,73.7,29,0,1026,4899,2452,1044,983,94.2,14,27,48,2.85,33,8,1,1,5,4,0.24,4,0,0,0,0,0,0,18,3,16.7,1.07,0.18,0.0,0.0,0,0,0,0.8,0.8,0.04,-0.8,-0.8,24,16,0,2,0,0,1,0,0.0,0.12,0.12,0.0,0.12,3.4,0.05,0.2,0.24,0.05,0.24,7.32980406284332,6.2092578522861,0.75605673996136,0.25187008590203863,0.09478415680483171
Giovani Lo Celso,ar ARG,MFFW,Tottenham,23,1996,16.6,832,1005,82.8,15375,3977,18,36,50.0,638,712,89.6,176,257,68.5,2,2.0,0.0,29,91,27,2,103,1005,922,83,37,2,178,45,56,40,18,9,7,684,162,159,847,116,20,6,9,832,4,10,16,21,1233,29,191,704,448,28,1156,38,68,55.9,41,1,893,6823,3770,951,862,90.6,22,25,59,3.56,44,9,2,1,3,6,0.36,5,0,0,1,0,0,0,18,3,16.7,1.09,0.18,0.0,0.0,1,0,0,1.3,1.3,0.07,-1.3,-1.3,28,15,0,2,0,0,6,0,0.0,0.12,0.12,0.0,0.12,2.0,0.08,0.12,0.2,0.08,0.2,7.93205602094531,5.9397904612124,0.7382783592161979,0.2751728290385749,0.11831405481663307
Benjamin Mendy,fr FRA,DF,Manchester City,25,1994,16.6,1108,1285,86.2,19843,5799,12,37,32.4,927,1014,91.4,169,234,72.2,2,1.4,0.6,20,55,38,20,153,1285,1158,127,13,0,160,33,86,0,0,0,0,900,225,160,1036,103,21,114,1,1108,5,14,18,32,1419,33,237,710,552,11,1294,23,31,74.2,24,5,983,4367,2699,1123,1067,95.0,6,16,36,2.17,33,1,1,1,0,6,0.36,5,1,0,0,0,0,0,10,1,10.0,0.6,0.06,0.0,0.0,0,0,0,0.3,0.3,0.03,-0.3,-0.3,19,18,0,2,0,0,3,0,0.0,0.12,0.12,0.0,0.12,1.4,0.02,0.08,0.1,0.02,0.1,10.9501784332097,10.0081606395543,0.826454615131463,0.19801444937504065,0.07625250791323201
Jetro Willems,nl NED,DF,Newcastle Utd,25,1994,16.6,408,582,70.1,7490,3595,6,26,23.1,321,387,82.9,81,169,47.9,2,1.2,0.8,16,30,13,5,80,582,450,132,10,0,98,13,32,1,1,0,0,306,95,181,336,91,21,121,3,408,4,9,17,27,755,61,262,301,223,22,627,30,39,76.9,30,0,408,2043,1313,407,346,85.0,9,7,34,2.05,27,3,4,0,0,6,0.36,4,1,1,0,0,0,2,14,6,42.9,0.84,0.36,0.14,0.33,0,0,0,0.6,0.6,0.04,1.4,1.4,19,18,2,2,0,0,0,0,0.12,0.12,0.24,0.12,0.24,1.2,0.03,0.07,0.11,0.03,0.11,3.26510699093342,1.96535764355212,0.703259874186863,0.456203646176657,0.1274721583397884
Jannik Vestergaard,dk DEN,DF,Southampton,26,1992,16.6,641,799,80.2,12888,4173,11,15,73.3,474,540,87.8,156,244,63.9,0,0.1,-0.1,4,58,4,0,47,799,753,46,20,2,137,21,1,0,0,0,0,536,81,182,235,447,59,26,3,641,1,22,4,6,1040,119,489,563,48,15,995,3,5,60.0,3,0,534,2834,1556,580,568,97.9,3,4,6,0.36,6,0,0,0,0,1,0.06,1,0,0,0,0,0,1,10,5,50.0,0.6,0.3,0.1,0.2,0,0,0,0.9,0.9,0.09,0.1,0.1,19,17,1,0,0,0,3,0,0.06,0.0,0.06,0.06,0.06,0.1,0.05,0.01,0.06,0.05,0.06,3.9135328810662,3.75041628442705,0.727177969161179,0.3107072776795634,0.06607492694858758
